"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4109283,4110535,".","+",".","NCU17282","NCU17282"
"CM002242.1","Genbank","gene",4110659,4111130,".","+",".","NCU17283","NCU17283"
"CM002242.1","Genbank","gene",3862586,3863627,".","+",".","NCU17275","NCU17275"
"CM002242.1","Genbank","gene",3650708,3651925,".","-",".","NCU17263","NCU17263"
"CM002242.1","Genbank","gene",2621398,2622824,".","-",".","NCU17232","NCU17232"
"CM002242.1","Genbank","gene",1867010,1868291,".","+",".","NCU17216","NCU17216"
"CM002242.1","Genbank","gene",1181959,1182785,".","+",".","NCU17185","NCU17185"
"CM002242.1","Genbank","gene",1222021,1222989,".","+",".","NCU17188","NCU17188"
"CM002242.1","Genbank","gene",444099,445069,".","+",".","NCU17167","NCU17167"
"CM002241.1","Genbank","gene",3564215,3565945,".","+",".","NCU17135","NCU17135"
"CM002241.1","Genbank","gene",482082,483853,".","-",".","NCU17066","NCU17066"
"CM002240.1","Genbank","gene",6084713,6086068,".","-",".","NCU17041","NCU17041"
"CM002240.1","Genbank","gene",4588085,4589430,".","+",".","NCU17016","NCU17016"
"CM002240.1","Genbank","gene",3636465,3637061,".","-",".","NCU16997","NCU16997"
"CM002240.1","Genbank","gene",3049692,3050444,".","-",".","NCU16980","NCU16980"
"CM002240.1","Genbank","gene",800922,801760,".","-",".","NCU16936","NCU16936"
"CM002239.1","Genbank","gene",5834812,5836862,".","-",".","NCU16901","NCU16901"
"CM002239.1","Genbank","gene",5054699,5055272,".","-",".","NCU16875","NCU16875"
"CM002239.1","Genbank","gene",4673483,4674868,".","-",".","NCU16861","NCU16861"
"CM002239.1","Genbank","gene",4763154,4765057,".","+",".","NCU16867","NCU16867"
"CM002239.1","Genbank","gene",4614911,4616291,".","-",".","NCU16859","NCU16859"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002239.1","Genbank","gene",3905437,3906405,".","+",".","NCU16827","NCU16827"
"CM002239.1","Genbank","gene",3423340,3424507,".","+",".","NCU16817","NCU16817"
"CM002239.1","Genbank","gene",3424251,3425392,".","+",".","NCU16818","NCU16818"
"CM002239.1","Genbank","gene",169007,171785,".","+",".","NCU16721","NCU16721"
"CM002238.1","Genbank","gene",4923246,4925445,".","-",".","NCU16708","NCU16708"
"CM002238.1","Genbank","gene",3699756,3700396,".","+",".","NCU16681","NCU16681"
"CM002238.1","Genbank","gene",3095962,3097269,".","-",".","NCU16670","NCU16670"
"CM002238.1","Genbank","gene",2729544,2730334,".","-",".","NCU16661","NCU16661"
"CM002238.1","Genbank","gene",2405229,2405889,".","-",".","NCU16649","NCU16649"
"CM002238.1","Genbank","gene",1623487,1625633,".","+",".","NCU16638","NCU16638"
"CM002238.1","Genbank","gene",1211886,1213038,".","+",".","NCU16623","NCU16623"
"CM002237.1","Genbank","gene",4213495,4216857,".","+",".","NCU16595","NCU16595"
"CM002237.1","Genbank","gene",4216986,4218423,".","+",".","NCU16596","NCU16596"
"CM002237.1","Genbank","gene",4223914,4227106,".","+",".","NCU16597","NCU16597"
"CM002237.1","Genbank","gene",436772,437506,".","+",".","NCU16502","NCU16502"
"CM002237.1","Genbank","gene",437172,439667,".","-",".","NCU16503","NCU16503"
"CM002236.1","Genbank","gene",8718768,8722839,".","+",".","NCU16472","NCU16472"
"CM002236.1","Genbank","gene",8723311,8723801,".","+",".","NCU16473","NCU16473"
"CM002236.1","Genbank","gene",8304221,8304733,".","+",".","NCU16461","NCU16461"
"CM002236.1","Genbank","gene",8019330,8021691,".","-",".","NCU16454","NCU16454"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",6976621,6980270,".","+",".","NCU16432","NCU16432"
"CM002236.1","Genbank","gene",6243420,6244337,".","-",".","NCU16411","NCU16411"
"CM002236.1","Genbank","gene",6506885,6508134,".","-",".","NCU16419","NCU16419"
"CM002236.1","Genbank","gene",5728526,5730503,".","-",".","NCU16405","NCU16405"
"CM002236.1","Genbank","gene",5427659,5428136,".","+",".","NCU16398","NCU16398"
"CM002236.1","Genbank","gene",4196188,4198145,".","-",".","NCU16380","NCU16380"
"CM002236.1","Genbank","gene",4225066,4225380,".","+",".","NCU16381","NCU16381"
"CM002236.1","Genbank","gene",3155770,3156954,".","+",".","NCU16372","NCU16372"
"CM002236.1","Genbank","gene",2630647,2631219,".","+",".","NCU16363","NCU16363"
"CM002236.1","Genbank","gene",2246768,2247766,".","-",".","NCU16353","NCU16353"
"CM002236.1","Genbank","gene",2100119,2100880,".","+",".","NCU16348","NCU16348"
"CM002236.1","Genbank","gene",2166496,2167240,".","+",".","NCU16349","NCU16349"
"CM002236.1","Genbank","gene",926376,927148,".","-",".","NCU16320","NCU16320"
"CM002236.1","Genbank","gene",226935,227879,".","-",".","NCU16306","NCU16306"
"CM002238.1","Genbank","gene",3187056,3188222,".","+",".","NCU15830","NCU15830"
"CM002238.1","Genbank","gene",4524375,4525796,".","+",".","NCU15833","NCU15833"
"CM002241.1","Genbank","gene",3160756,3162230,".","-",".","NCU12126","NCU12126"
"CM002241.1","Genbank","gene",1729574,1731509,".","-",".","NCU12104","NCU12104"
"CM002241.1","Genbank","gene",778630,779906,".","+",".","NCU12084","NCU12084"
"CM002242.1","Genbank","gene",865481,870083,".","+",".","NCU12040","NCU12040"
"CM002242.1","Genbank","gene",988465,989926,".","+",".","NCU12035","NCU12035"
"CM002237.1","Genbank","gene",4305219,4306415,".","-",".","NCU11416","NCU11416"
"CM002239.1","Genbank","gene",216459,218232,".","+",".","NCU11362","NCU11362"
"CM002239.1","Genbank","gene",4608333,4609578,".","+",".","NCU11346","NCU11346"
"CM002239.1","Genbank","gene",4609837,4611585,".","+",".","NCU11347","NCU11347"
"CM002237.1","Genbank","gene",1406367,1408806,".","+",".","NCU11331","NCU11331"
"CM002240.1","Genbank","gene",1257920,1259592,".","+",".","NCU11309","NCU11309"
"CM002240.1","Genbank","gene",2156713,2157610,".","+",".","NCU11260","NCU11260"
"CM002236.1","Genbank","gene",1277760,1278636,".","+",".","NCU11212","NCU11212"
"CM002236.1","Genbank","gene",2024678,2026493,".","-",".","NCU11201","NCU11201"
"CM002236.1","Genbank","gene",2029768,2031216,".","-",".","NCU11200","NCU11200"
"CM002236.1","Genbank","gene",7318856,7321215,".","-",".","NCU11095","NCU11095"
"CM002239.1","Genbank","gene",3667138,3671883,".","-",".","NCU11050","NCU11050"
"CM002241.1","Genbank","gene",3400817,3401391,".","-",".","NCU11059","NCU11059"
"CM002240.1","Genbank","gene",699366,700976,".","-",".","NCU11046","NCU11046"
"CM002236.1","Genbank","gene",7149409,7150834,".","+",".","NCU10894","NCU10894"
"CM002242.1","Genbank","gene",1242956,1245075,".","-",".","NCU10896","NCU10896"
"CM002241.1","Genbank","gene",3593385,3597540,".","-",".","NCU10883","NCU10883"
"CM002242.1","Genbank","gene",1449282,1451069,".","-",".","NCU10865","NCU10865"
"CM002236.1","Genbank","gene",5374803,5378088,".","+",".","NCU10852","NCU10852"
"CM002237.1","Genbank","gene",4312939,4316864,".","-",".","NCU10809","NCU10809"
"CM002242.1","Genbank","gene",868483,869531,".","-",".","NCU10703","NCU10703"
"CM002236.1","Genbank","gene",1094589,1097657,".","+",".","NCU10687","NCU10687"
"CM002238.1","Genbank","gene",1281954,1285426,".","+",".","NCU10675","NCU10675"
"CM002236.1","Genbank","gene",6716804,6718071,".","+",".","NCU10603","NCU10603"
"CM002240.1","Genbank","gene",1403606,1404044,".","+",".","NCU10591","NCU10591"
"CM002241.1","Genbank","gene",4119187,4122396,".","-",".","NCU10597","NCU10597"
"CM002239.1","Genbank","gene",31868,33628,".","+",".","NCU10572","NCU10572"
"CM002236.1","Genbank","gene",5250694,5251817,".","-",".","NCU10507","NCU10507"
"CM002239.1","Genbank","gene",3316772,3319267,".","-",".","NCU10500","NCU10500"
"CM002237.1","Genbank","gene",2899017,2900334,".","-",".","NCU10404","NCU10404"
"CM002238.1","Genbank","gene",589843,592636,".","-",".","NCU10387","NCU10387"
"CM002238.1","Genbank","gene",2552708,2553360,".","+",".","NCU10301","NCU10301"
"CM002240.1","Genbank","gene",1454126,1456888,".","-",".","NCU10091","NCU10091"
"CM002240.1","Genbank","gene",1479158,1479696,".","-",".","NCU10092","NCU10092"
"CM002242.1","Genbank","gene",3628280,3631170,".","-",".","NCU10080","NCU10080"
"CM002236.1","Genbank","gene",3049615,3054129,".","-",".","NCU10075","NCU10075"
"CM002236.1","Genbank","gene",3053216,3053755,".","+",".","NCU10076","NCU10076"
"CM002241.1","Genbank","gene",3263211,3264417,".","+",".","NCU10049","NCU10049"
"CM002236.1","Genbank","gene",2345343,2346397,".","-",".","NCU09970","NCU09970"
"CM002236.1","Genbank","gene",2345973,2348152,".","+",".","NCU09971","NCU09971"
"CM002236.1","Genbank","gene",2361425,2362324,".","+",".","NCU09976","NCU09976"
"CM002240.1","Genbank","gene",6058227,6058877,".","+",".","NCU09964","NCU09964"
"CM002240.1","Genbank","gene",6049654,6050526,".","-",".","NCU09959","NCU09959"
