"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4109283,4110535,".","+",".","NCU17282","NCU17282"
"CM002242.1","Genbank","gene",3650708,3651925,".","-",".","NCU17263","NCU17263"
"CM002242.1","Genbank","gene",3525805,3527265,".","-",".","NCU17258","NCU17258"
"CM002242.1","Genbank","gene",1181959,1182785,".","+",".","NCU17185","NCU17185"
"CM002241.1","Genbank","gene",4020109,4020971,".","+",".","NCU17150","NCU17150"
"CM002241.1","Genbank","gene",610784,612773,".","+",".","NCU17069","NCU17069"
"CM002240.1","Genbank","gene",6362123,6362862,".","-",".","NCU17050","NCU17050"
"CM002240.1","Genbank","gene",346416,347139,".","-",".","NCU16918","NCU16918"
"CM002239.1","Genbank","gene",5834812,5836862,".","-",".","NCU16901","NCU16901"
"CM002239.1","Genbank","gene",5913829,5914260,".","-",".","NCU16904","NCU16904"
"CM002239.1","Genbank","gene",4763154,4765057,".","+",".","NCU16867","NCU16867"
"CM002239.1","Genbank","gene",4614911,4616291,".","-",".","NCU16859","NCU16859"
"CM002239.1","Genbank","gene",4119778,4120792,".","+",".","NCU16834","NCU16834"
"CM002239.1","Genbank","gene",3892553,3893126,".","+",".","NCU16826","NCU16826"
"CM002238.1","Genbank","gene",4570819,4572466,".","+",".","NCU16699","NCU16699"
"CM002238.1","Genbank","gene",3699756,3700396,".","+",".","NCU16681","NCU16681"
"CM002237.1","Genbank","gene",4132288,4133283,".","-",".","NCU16591","NCU16591"
"CM002237.1","Genbank","gene",4223914,4227106,".","+",".","NCU16597","NCU16597"
"CM002237.1","Genbank","gene",436772,437506,".","+",".","NCU16502","NCU16502"
"CM002236.1","Genbank","gene",7593106,7593654,".","+",".","NCU16444","NCU16444"
"CM002236.1","Genbank","gene",7648040,7649400,".","+",".","NCU16445","NCU16445"
"CM002236.1","Genbank","gene",6506885,6508134,".","-",".","NCU16419","NCU16419"
"CM002236.1","Genbank","gene",5728526,5730503,".","-",".","NCU16405","NCU16405"
"CM002236.1","Genbank","gene",5427659,5428136,".","+",".","NCU16398","NCU16398"
"CM002236.1","Genbank","gene",3407982,3409485,".","+",".","NCU16374","NCU16374"
"CM002236.1","Genbank","gene",2630647,2631219,".","+",".","NCU16363","NCU16363"
"CM002236.1","Genbank","gene",2085202,2086399,".","-",".","NCU16347","NCU16347"
