"SequenceID","Source","FeatureType","FeatureStart","FeatureEnd","Score","Strand","Phase","Attributes","VALUE"
"CM002242.1","Genbank","gene",4110659,4111130,".","+",".","NCU17283","NCU17283"
"CM002242.1","Genbank","gene",925045,925845,".","+",".","NCU17180","NCU17180"
"CM002242.1","Genbank","gene",928381,928873,".","+",".","NCU17181","NCU17181"
"CM002242.1","Genbank","gene",672097,672603,".","-",".","NCU17170","NCU17170"
"CM002242.1","Genbank","gene",719122,719706,".","+",".","NCU17172","NCU17172"
"CM002242.1","Genbank","gene",241507,241878,".","-",".","NCU17161","NCU17161"
"CM002241.1","Genbank","gene",3808678,3809013,".","-",".","NCU17143","NCU17143"
"CM002240.1","Genbank","gene",6435237,6435860,".","+",".","NCU17054","NCU17054"
"CM002240.1","Genbank","gene",6087154,6088614,".","-",".","NCU17042","NCU17042"
"CM002240.1","Genbank","gene",6100092,6100997,".","-",".","NCU17043","NCU17043"
"CM002240.1","Genbank","gene",662806,666353,".","+",".","NCU16930","NCU16930"
"CM002240.1","Genbank","gene",642040,642719,".","+",".","NCU16926","NCU16926"
"CM002240.1","Genbank","gene",655582,656324,".","-",".","NCU16928","NCU16928"
"CM002240.1","Genbank","gene",657738,659487,".","+",".","NCU16929","NCU16929"
"CM002239.1","Genbank","gene",5937270,5937656,".","-",".","NCU16905","NCU16905"
"CM002239.1","Genbank","gene",5946299,5947549,".","+",".","NCU16906","NCU16906"
"CM002239.1","Genbank","gene",5096650,5097060,".","+",".","NCU16876","NCU16876"
"CM002239.1","Genbank","gene",759594,760596,".","-",".","NCU16744","NCU16744"
"CM002239.1","Genbank","gene",597156,597810,".","-",".","NCU16738","NCU16738"
"CM002239.1","Genbank","gene",103519,106130,".","+",".","NCU16720","NCU16720"
"CM002239.1","Genbank","gene",205431,206036,".","+",".","NCU16723","NCU16723"
"CM002239.1","Genbank","gene",360310,360701,".","+",".","NCU16728","NCU16728"
"CM002238.1","Genbank","gene",5272185,5273718,".","+",".","NCU16718","NCU16718"
"CM002239.1","Genbank","gene",69650,71006,".","-",".","NCU16719","NCU16719"
"CM002238.1","Genbank","gene",4725647,4726429,".","-",".","NCU16701","NCU16701"
"CM002238.1","Genbank","gene",4800161,4800732,".","+",".","NCU16703","NCU16703"
"CM002238.1","Genbank","gene",4809123,4810856,".","+",".","NCU16704","NCU16704"
"CM002238.1","Genbank","gene",4825346,4825846,".","-",".","NCU16705","NCU16705"
"CM002238.1","Genbank","gene",4826688,4827377,".","-",".","NCU16706","NCU16706"
"CM002238.1","Genbank","gene",4860632,4861381,".","-",".","NCU16707","NCU16707"
"CM002238.1","Genbank","gene",382227,382889,".","+",".","NCU16614","NCU16614"
"CM002236.1","Genbank","gene",195781,196290,".","-",".","NCU16305","NCU16305"
"CM002236.1","Genbank","gene",246887,247478,".","-",".","NCU16307","NCU16307"
"CM002241.1","Genbank","gene",3798661,3799753,".","-",".","NCU12144","NCU12144"
"CM002241.1","Genbank","gene",432497,433014,".","+",".","NCU12076","NCU12076"
"CM002241.1","Genbank","gene",465575,466364,".","-",".","NCU12077","NCU12077"
"CM002241.1","Genbank","gene",467360,467683,".","-",".","NCU12078","NCU12078"
"CM002241.1","Genbank","gene",48620,49910,".","+",".","NCU12065","NCU12065"
"CM002241.1","Genbank","gene",151704,153543,".","+",".","NCU12068","NCU12068"
"CM002241.1","Genbank","gene",155205,156962,".","+",".","NCU12069","NCU12069"
"CM002242.1","Genbank","gene",306376,307498,".","-",".","NCU12051","NCU12051"
"CM002242.1","Genbank","gene",706753,707589,".","+",".","NCU12045","NCU12045"
"CM002242.1","Genbank","gene",714757,715446,".","+",".","NCU12044","NCU12044"
"CM002242.1","Genbank","gene",923740,924601,".","+",".","NCU12039","NCU12039"
"CM002242.1","Genbank","gene",929691,930085,".","+",".","NCU12036","NCU12036"
"CM002239.1","Genbank","gene",193862,195389,".","-",".","NCU11364","NCU11364"
"CM002239.1","Genbank","gene",195504,197458,".","+",".","NCU11363","NCU11363"
"CM002241.1","Genbank","gene",24458,25894,".","+",".","NCU11342","NCU11342"
"CM002238.1","Genbank","gene",5268653,5269619,".","-",".","NCU11291","NCU11291"
"CM002238.1","Genbank","gene",5269831,5270939,".","-",".","NCU11292","NCU11292"
"CM002238.1","Genbank","gene",4631535,4633728,".","+",".","NCU11286","NCU11286"
"CM002236.1","Genbank","gene",15930,16647,".","+",".","NCU11134","NCU11134"
"CM002240.1","Genbank","gene",681560,682080,".","-",".","NCU11087","NCU11087"
"CM002239.1","Genbank","gene",253084,254341,".","-",".","NCU10936","NCU10936"
"CM002238.1","Genbank","gene",5225994,5226818,".","+",".","NCU10641","NCU10641"
"CM002239.1","Genbank","gene",588839,589543,".","-",".","NCU10644","NCU10644"
"CM002242.1","Genbank","gene",312100,313727,".","-",".","NCU10539","NCU10539"
"CM002236.1","Genbank","gene",91324,92593,".","+",".","NCU10501","NCU10501"
"CM002239.1","Genbank","gene",591011,591907,".","+",".","NCU10502","NCU10502"
"CM002241.1","Genbank","gene",342337,344310,".","-",".","NCU10344","NCU10344"
"CM002239.1","Genbank","gene",1667,3325,".","+",".","NCU10285","NCU10285"
"CM002238.1","Genbank","gene",4657091,4658449,".","-",".","NCU10210","NCU10210"
"CM002236.1","Genbank","gene",1151,2878,".","-",".","NCU10129","NCU10129"
"CM002236.1","Genbank","gene",9770841,9772169,".","-",".","NCU10031","NCU10031"
"CM002239.1","Genbank","gene",5941405,5943417,".","+",".","NCU10039","NCU10039"
"CM002239.1","Genbank","gene",5949691,5951318,".","+",".","NCU10037","NCU10037"
"CM002236.1","Genbank","gene",9759597,9762612,".","+",".","NCU10027","NCU10027"
"CM002238.1","Genbank","gene",344838,345608,".","+",".","NCU10005","NCU10005"
"CM002240.1","Genbank","gene",6052654,6053377,".","+",".","NCU09961","NCU09961"
"CM002240.1","Genbank","gene",6058227,6058877,".","+",".","NCU09964","NCU09964"
"CM002240.1","Genbank","gene",6060921,6062353,".","-",".","NCU09965","NCU09965"
"CM002240.1","Genbank","gene",6064588,6066000,".","-",".","NCU09966","NCU09966"
"CM002240.1","Genbank","gene",6029831,6030256,".","-",".","NCU09950","NCU09950"
"CM002240.1","Genbank","gene",6030837,6031483,".","-",".","NCU09951","NCU09951"
"CM002240.1","Genbank","gene",6032208,6032868,".","-",".","NCU09952","NCU09952"
"CM002240.1","Genbank","gene",6033313,6034014,".","-",".","NCU09953","NCU09953"
"CM002240.1","Genbank","gene",6038404,6040286,".","+",".","NCU09955","NCU09955"
"CM002240.1","Genbank","gene",6041267,6041800,".","+",".","NCU09956","NCU09956"
"CM002240.1","Genbank","gene",6023508,6024661,".","+",".","NCU09947","NCU09947"
"CM002240.1","Genbank","gene",6025496,6026290,".","+",".","NCU09948","NCU09948"
"CM002240.1","Genbank","gene",6027730,6028640,".","-",".","NCU09949","NCU09949"
"CM002239.1","Genbank","gene",5250089,5250952,".","-",".","NCU09939","NCU09939"
"CM002236.1","Genbank","gene",59146,61150,".","+",".","NCU09913","NCU09913"
"CM002236.1","Genbank","gene",3178,6443,".","+",".","NCU09901","NCU09901"
"CM002236.1","Genbank","gene",40950,42632,".","-",".","NCU09907","NCU09907"
"CM002236.1","Genbank","gene",43709,44551,".","-",".","NCU09908","NCU09908"
"CM002240.1","Genbank","gene",560619,561578,".","-",".","NCU09834","NCU09834"
"CM002240.1","Genbank","gene",564305,564806,".","-",".","NCU09835","NCU09835"
"CM002240.1","Genbank","gene",567157,568335,".","-",".","NCU09836","NCU09836"
"CM002240.1","Genbank","gene",571752,573454,".","+",".","NCU09837","NCU09837"
"CM002242.1","Genbank","gene",1346414,1348059,".","+",".","NCU09726","NCU09726"
"CM002242.1","Genbank","gene",1350640,1351307,".","-",".","NCU09725","NCU09725"
"CM002242.1","Genbank","gene",1353460,1355271,".","+",".","NCU09724","NCU09724"
"CM002239.1","Genbank","gene",101673,102330,".","+",".","NCU09660","NCU09660"
"CM002239.1","Genbank","gene",108982,109942,".","-",".","NCU09664","NCU09664"
"CM002239.1","Genbank","gene",111999,112997,".","-",".","NCU09665","NCU09665"
"CM002239.1","Genbank","gene",68362,68930,".","+",".","NCU09650","NCU09650"
"CM002239.1","Genbank","gene",29178,31245,".","+",".","NCU09641","NCU09641"
"CM002239.1","Genbank","gene",55579,56712,".","+",".","NCU09645","NCU09645"
"CM002237.1","Genbank","gene",8927,11029,".","-",".","NCU09634","NCU09634"
"CM002237.1","Genbank","gene",11642,12594,".","+",".","NCU09633","NCU09633"
"CM002239.1","Genbank","gene",3960,5883,".","-",".","NCU09635","NCU09635"
"CM002239.1","Genbank","gene",19910,21754,".","-",".","NCU09639","NCU09639"
"CM002237.1","Genbank","gene",34371,35627,".","-",".","NCU09623","NCU09623"
"CM002237.1","Genbank","gene",51943,53778,".","+",".","NCU09613","NCU09613"
"CM002237.1","Genbank","gene",73202,74342,".","-",".","NCU09604","NCU09604"
"CM002237.1","Genbank","gene",76425,78257,".","+",".","NCU09603","NCU09603"
"CM002237.1","Genbank","gene",107020,108114,".","+",".","NCU09593","NCU09593"
"CM002242.1","Genbank","gene",911011,911974,".","+",".","NCU09590","NCU09590"
"CM002242.1","Genbank","gene",912593,913306,".","+",".","NCU09589","NCU09589"
"CM002242.1","Genbank","gene",914086,914811,".","+",".","NCU09588","NCU09588"
"CM002242.1","Genbank","gene",915889,916764,".","-",".","NCU09587","NCU09587"
"CM002242.1","Genbank","gene",917315,918638,".","+",".","NCU09586","NCU09586"
"CM002242.1","Genbank","gene",919319,920448,".","-",".","NCU09585","NCU09585"
"CM002242.1","Genbank","gene",922026,922793,".","-",".","NCU09584","NCU09584"
"CM002242.1","Genbank","gene",943779,944454,".","-",".","NCU09578","NCU09578"
"CM002242.1","Genbank","gene",945769,946591,".","-",".","NCU09577","NCU09577"
"CM002237.1","Genbank","gene",4447140,4448862,".","-",".","NCU09490","NCU09490"
"CM002242.1","Genbank","gene",242470,243276,".","-",".","NCU09452","NCU09452"
"CM002242.1","Genbank","gene",250769,251228,".","-",".","NCU09453","NCU09453"
"CM002242.1","Genbank","gene",255204,256129,".","+",".","NCU09455","NCU09455"
"CM002242.1","Genbank","gene",950,2274,".","-",".","NCU09306","NCU09306"
"CM002242.1","Genbank","gene",106907,107396,".","-",".","NCU09277","NCU09277"
"CM002242.1","Genbank","gene",108158,109295,".","-",".","NCU09276","NCU09276"
"CM002242.1","Genbank","gene",110585,111417,".","-",".","NCU09275","NCU09275"
"CM002238.1","Genbank","gene",299936,301267,".","+",".","NCU09190","NCU09190"
"CM002238.1","Genbank","gene",273675,274366,".","+",".","NCU09180","NCU09180"
"CM002238.1","Genbank","gene",274859,275686,".","+",".","NCU09181","NCU09181"
"CM002238.1","Genbank","gene",277684,279201,".","-",".","NCU09183","NCU09183"
"CM002238.1","Genbank","gene",281000,282805,".","+",".","NCU09184","NCU09184"
"CM002238.1","Genbank","gene",239408,241233,".","+",".","NCU09170","NCU09170"
"CM002238.1","Genbank","gene",241501,243748,".","-",".","NCU09171","NCU09171"
"CM002238.1","Genbank","gene",245253,247405,".","-",".","NCU09172","NCU09172"
"CM002238.1","Genbank","gene",250619,252198,".","-",".","NCU09173","NCU09173"
"CM002238.1","Genbank","gene",263455,264422,".","-",".","NCU09177","NCU09177"
"CM002238.1","Genbank","gene",272107,273360,".","+",".","NCU09179","NCU09179"
"CM002238.1","Genbank","gene",219919,221618,".","-",".","NCU09163","NCU09163"
"CM002238.1","Genbank","gene",224366,225339,".","+",".","NCU09164","NCU09164"
"CM002238.1","Genbank","gene",225709,227571,".","+",".","NCU09165","NCU09165"
"CM002238.1","Genbank","gene",228016,229458,".","-",".","NCU09166","NCU09166"
"CM002238.1","Genbank","gene",237024,238377,".","-",".","NCU09169","NCU09169"
"CM002238.1","Genbank","gene",165973,167007,".","-",".","NCU09150","NCU09150"
"CM002238.1","Genbank","gene",199775,200169,".","-",".","NCU09158","NCU09158"
"CM002238.1","Genbank","gene",159465,161404,".","-",".","NCU09148","NCU09148"
"CM002238.1","Genbank","gene",163883,164706,".","+",".","NCU09149","NCU09149"
"CM002240.1","Genbank","gene",638675,639662,".","+",".","NCU08918","NCU08918"
"CM002240.1","Genbank","gene",640869,641662,".","-",".","NCU08917","NCU08917"
"CM002240.1","Genbank","gene",642904,643795,".","+",".","NCU08916","NCU08916"
"CM002240.1","Genbank","gene",644543,644869,".","+",".","NCU08915","NCU08915"
"CM002240.1","Genbank","gene",652640,653407,".","+",".","NCU08912","NCU08912"
